ppcc,ppcc_baseline,si
0.756655875111,0.944730087007,0.143886042609
0.803382296551,0.959828973339,0.334653264536
0.743998887668,0.930211929759,0.141244140015
0.218135890005,0.769982627226,0.152162540069
0.588411326743,0.879986906672,0.0642492262405
0.0,0.880529916341,0.171943751983
0.487886225357,0.863557748532,0.171634690034
0.780045731308,0.974459265178,0.378797751689
0.695227538983,0.910960219312,0.0585115424709
0.638264940645,0.904857128251,0.0950030680973
0.505906550975,0.820966273147,0.0606431749915
0.55620719342,0.86071671099,0.104225114072
0.592184776447,0.951712545603,0.13821490634
0.711248444344,0.923248021832,0.177232851875
0.607635991334,0.921333170718,0.13393844022
0.566443081401,0.925084307213,0.269579495291
0.737129196526,0.965828962231,0.266102517274
0.0,0.964583307535,0.527853373261
0.783895155261,0.964449586963,0.216976110827
0.334677848513,0.834920112369,0.0657330629992
0.540713532931,0.919236362834,0.109929108314
0.691673666496,0.890731225336,0.127950423167
0.676033178895,0.958661133167,0.16625609973
0.0,0.944239495766,0.296124895744
0.674687093891,0.924510163775,0.140139461142
0.625428224097,0.884164202906,0.15205763135
0.422776610539,0.803506029092,0.0592592091065
0.541603538242,0.813371249789,0.146551159911
0.620899043982,0.936886483301,0.0929549624146
0.0,0.896568995899,0.205288979835
0.607777532248,0.923112807048,0.149903839697
0.787796866002,0.960904923401,0.264373963609
0.500745612806,0.84137295195,0.0894107367025
0.530706884035,0.961599462278,0.353314019207
0.48131433055,0.798673239448,0.0460856421249
0.385965717519,0.792187845836,0.145255399586
0.337424316181,0.807734440554,0.0825607075095
