id,y,y_pred,neuron
488,0.65,0.580002,6
488,0.65,0.397137,7
488,5.25,3.68079,8
488,4.35,2.78166,9
488,3.7,2.94461,10
488,3.4,2.13456,11
488,4.35,4.05412,12
488,3.6,2.57471,13
488,3.6,3.63071,14
488,1.25,1.42326,15
488,0.85,1.53086,16
488,0.65,0.235135,17
488,2.7,1.73922,18
488,3.2,1.63307,19
488,7.95,3.2418,20
488,7.7,3.84797,21
488,2.55,4.33935,22
488,0.8,0.38873,23
488,1.8,0.0,24
488,2.65,1.41125,25
488,7.85,4.3793,26
488,1.6,1.34722,27
488,4.4,3.39765,28
488,2.15,0.0,29
488,4.35,3.69178,30
488,1.45,0.0,31
488,2.85,0.0,32
488,2.5,0.718367,33
488,4.4,2.80825,34
488,1.05,0.0,35
488,2.65,1.26881,36
536,3.95,3.22508,0
536,1.85,2.46984,1
536,5.4,5.00299,2
536,0.35,0.30718,3
536,9.5,9.41726,4
536,3.05,3.02336,5
536,1.8,1.22094,6
536,4.15,3.83354,7
536,6.4,6.65338,8
536,5.45,4.35601,9
536,4.85,3.45393,10
536,4.0,3.38174,11
536,4.15,7.29255,12
536,4.25,3.14618,13
536,4.4,3.88722,14
536,2.05,3.51443,15
536,3.5,4.29315,16
536,1.0,1.07483,17
536,9.0,8.36828,18
536,2.8,2.74275,19
536,4.65,4.95315,20
536,8.85,8.22758,21
536,7.25,5.3647,22
536,2.55,2.35034,23
536,2.85,0.0,24
536,2.7,2.58519,25
536,6.5,5.31495,26
536,2.65,1.84281,27
536,6.4,6.01927,28
536,1.35,0.0,29
536,4.2,4.15506,30
536,4.95,0.0,31
536,1.95,0.0,32
536,0.8,0.549805,33
536,3.35,3.34772,34
536,1.7,0.0,35
536,2.95,2.3261,36
330,3.15,3.47618,0
330,1.55,1.16617,1
330,5.2,4.69759,2
330,0.75,0.364737,3
330,10.05,7.60176,4
330,2.15,2.91885,5
330,1.3,1.36613,6
330,5.3,4.6281,7
330,6.25,4.70639,8
330,6.15,3.69064,9
330,3.95,2.92075,10
330,4.25,3.31498,11
330,8.75,7.72878,12
330,2.05,1.91714,13
330,2.6,4.26596,14
330,3.25,4.54388,15
330,4.15,4.37971,16
330,0.5,0.637879,17
330,7.6,7.78881,18
330,2.95,2.28231,19
330,4.5,4.30743,20
330,7.1,7.97641,21
330,4.4,4.24421,22
330,2.8,2.26914,23
330,2.5,0.0,24
330,3.15,2.3149,25
330,5.8,4.41534,26
330,2.45,1.83904,27
330,7.6,5.46323,28
330,0.55,0.0,29
330,3.75,4.36429,30
330,5.45,0.0,31
330,1.95,0.0,32
330,0.85,0.477032,33
330,3.85,2.85821,34
330,1.4,0.0,35
330,2.8,2.02969,36
196,3.9,3.27171,0
196,3.55,2.62395,1
196,1.75,2.73131,2
196,0.85,0.123276,3
196,9.05,7.44064,4
196,0.8,1.07411,5
196,2.35,1.21137,6
196,0.75,1.82789,7
196,7.95,5.8807,8
196,5.3,4.54755,9
196,3.35,3.12984,10
196,5.35,2.72694,11
196,2.95,3.43212,12
196,4.75,3.7466,13
196,3.25,2.87876,14
196,2.4,2.03438,15
196,3.9,3.46137,16
196,1.55,1.36831,17
196,3.1,4.32482,18
196,2.5,1.905,19
196,4.85,3.70756,20
196,5.15,4.2978,21
196,9.95,5.16861,22
196,1.3,1.19721,23
196,4.1,0.0,24
196,3.75,2.77197,25
196,4.85,4.65997,26
196,2.65,1.64987,27
196,4.75,3.72849,28
196,2.0,0.0,29
196,2.45,2.90797,30
196,4.4,0.0,31
196,1.4,0.0,32
196,0.6,0.800345,33
196,4.85,3.37698,34
196,1.25,0.0,35
196,2.05,1.44093,36
160,2.55,2.12565,0
160,0.6,0.850605,1
160,1.9,2.30112,2
160,0.2,0.10834,3
160,5.35,4.81343,4
160,0.65,0.925898,5
160,0.3,0.710924,6
160,2.2,1.38852,7
160,5.4,4.27023,8
160,2.55,3.17957,9
160,1.85,2.62712,10
160,2.1,1.91531,11
160,5.25,4.67309,12
160,1.7,1.93577,13
160,1.3,2.68913,14
160,0.6,1.65536,15
160,1.35,1.9382,16
160,0.55,0.230393,17
160,2.8,2.99873,18
160,1.4,1.63417,19
160,3.2,2.46151,20
160,2.6,3.06018,21
160,4.1,3.72996,22
160,1.4,0.880895,23
160,1.4,0.0,24
160,1.25,1.74694,25
160,3.55,4.35207,26
160,1.05,0.95845,27
160,5.45,4.27411,28
160,0.6,0.0,29
160,1.25,2.60856,30
160,1.7,0.0,31
160,1.0,0.0,32
160,1.2,0.296838,33
160,2.4,2.57457,34
160,0.55,0.0,35
160,0.95,1.18427,36
6,4.55,4.24193,0
6,2.2,4.63764,1
6,3.05,3.7564,2
6,0.3,0.192705,3
6,7.65,8.71572,4
6,2.5,1.60356,5
6,1.1,1.14312,6
6,4.75,2.78793,7
6,7.15,7.16737,8
6,5.15,6.26665,9
6,2.8,4.44215,10
6,4.15,3.41925,11
6,4.9,5.57337,12
6,3.75,4.6184,13
6,3.65,4.16978,14
6,4.05,2.72958,15
6,3.55,3.98043,16
6,1.6,2.64433,17
6,4.7,5.66656,18
6,2.3,2.79654,19
6,3.05,4.52565,20
6,8.4,6.81155,21
6,8.25,7.27511,22
6,2.55,2.07371,23
6,3.25,0.0,24
6,3.1,4.07744,25
6,3.65,5.10005,26
6,1.75,1.94944,27
6,4.95,4.95132,28
6,1.3,0.0,29
6,4.55,4.31882,30
6,4.9,0.0,31
6,0.9,0.0,32
6,0.6,0.291184,33
6,3.35,4.2421,34
6,1.1,0.0,35
6,1.35,1.82045,36
448,4.75,4.27046,0
448,3.3,3.12238,1
448,3.8,3.79963,2
448,0.7,0.176524,3
448,8.95,8.52723,4
448,3.35,1.89762,5
448,1.45,1.26667,6
448,3.7,2.51448,7
448,6.35,6.28373,8
448,7.4,6.37046,9
448,4.95,3.99555,10
448,3.8,3.54679,11
448,10.6,9.05574,12
448,2.7,3.44288,13
448,5.25,4.28761,14
448,3.2,3.0602,15
448,4.45,3.9694,16
448,1.95,1.50369,17
448,5.4,5.7553,18
448,2.6,2.51707,19
448,5.35,3.9949,20
448,7.15,5.564,21
448,6.35,6.09436,22
448,3.2,1.76266,23
448,3.6,0.0,24
448,4.9,3.68088,25
448,6.75,5.93838,26
448,2.05,1.70978,27
448,7.9,5.80881,28
448,1.1,0.0,29
448,5.8,4.07836,30
448,5.35,0.0,31
448,1.85,0.0,32
448,0.5,0.763001,33
448,6.35,3.80085,34
448,0.9,0.0,35
448,2.1,1.80255,36
698,4.7,4.32849,0
698,0.85,1.31605,1
698,3.05,3.62697,2
698,0.4,0.19162,3
698,9.1,6.5668,4
698,1.0,1.22809,5
698,1.15,1.40389,6
698,1.1,1.49504,7
698,7.05,6.19032,8
698,4.5,3.80915,9
698,3.7,3.90933,10
698,3.5,3.00476,11
698,4.85,4.41374,12
698,4.95,4.13108,13
698,3.35,3.59578,14
698,0.9,2.41599,15
698,5.0,5.28069,16
698,0.2,0.15058,17
698,5.3,5.56273,18
698,2.45,2.17096,19
698,4.4,3.07036,20
698,4.7,4.76344,21
698,5.5,7.82113,22
698,0.35,1.19236,23
698,2.95,0.0,24
698,2.35,1.82595,25
698,7.55,5.28436,26
698,1.95,2.1375,27
698,6.1,4.72069,28
698,1.9,0.0,29
698,4.55,4.67798,30
698,5.8,0.0,31
698,1.5,0.0,32
698,0.95,1.27813,33
698,3.95,2.83702,34
698,1.0,0.0,35
698,1.5,1.57405,36
641,2.9,1.53866,0
641,0.9,0.758129,1
641,1.45,1.08164,2
641,0.65,0.225849,3
641,11.85,7.14785,4
641,0.95,0.678248,5
641,0.8,0.912637,6
641,0.7,0.500614,7
641,4.65,3.10575,8
641,3.8,2.36843,9
641,4.0,2.37379,10
641,5.15,2.42343,11
641,4.15,3.50021,12
641,2.55,1.27407,13
641,5.05,2.65404,14
641,1.2,0.697663,15
641,1.85,1.32196,16
641,0.05,0.0730697,17
641,2.25,1.10276,18
641,1.95,1.56588,19
641,6.4,3.90098,20
641,4.0,2.64772,21
641,9.9,6.69033,22
641,0.5,0.491024,23
641,1.25,0.0,24
641,2.4,1.10211,25
641,7.6,3.30055,26
641,2.75,1.66169,27
641,4.45,2.53886,28
641,1.3,0.0,29
641,4.3,2.14321,30
641,2.1,0.0,31
641,2.45,0.0,32
641,1.45,1.15788,33
641,4.4,2.58033,34
641,1.1,0.0,35
641,3.0,1.42172,36
625,2.75,2.11327,0
625,0.75,0.698937,1
625,1.45,1.37097,2
625,0.35,0.143332,3
625,10.2,7.80421,4
625,1.45,1.0427,5
625,0.5,0.684229,6
625,0.65,0.415234,7
625,4.55,4.37872,8
625,3.75,2.45179,9
625,4.8,2.89941,10
625,4.1,2.68962,11
625,4.15,2.78382,12
625,2.9,1.9444,13
625,3.85,3.36202,14
625,1.15,0.9791,15
625,1.6,1.17308,16
625,0.4,0.238234,17
625,2.3,1.8319,18
625,2.2,1.70481,19
625,5.1,4.65677,20
625,4.15,3.23098,21
625,7.9,7.22647,22
625,0.4,0.435683,23
625,1.3,0.0,24
625,2.0,1.54079,25
625,8.25,4.9463,26
625,1.85,1.76858,27
625,3.05,2.32141,28
625,1.8,0.0,29
625,4.35,3.66469,30
625,1.25,0.0,31
625,1.75,0.0,32
625,2.75,1.14084,33
625,4.7,3.46817,34
625,0.65,0.0,35
625,2.0,1.56477,36
454,3.05,2.83892,0
454,0.55,1.35677,1
454,2.45,3.16093,2
454,0.5,0.186838,3
454,8.4,5.5155,4
454,0.75,1.44077,5
454,1.35,0.347026,6
454,1.1,2.43233,7
454,4.6,3.8354,8
454,3.4,2.76612,9
454,2.75,2.69152,10
454,2.4,2.12272,11
454,7.9,3.8068,12
454,1.55,1.6871,13
454,1.55,2.64642,14
454,1.55,3.65349,15
454,3.2,2.99116,16
454,0.2,0.639961,17
454,3.35,4.99684,18
454,1.8,1.56666,19
454,4.3,2.3837,20
454,3.35,4.82949,21
454,3.9,2.2251,22
454,0.65,1.445,23
454,1.6,0.0,24
454,2.25,1.98761,25
454,5.6,3.95641,26
454,1.15,1.26486,27
454,7.15,3.98395,28
454,0.95,0.0,29
454,1.5,2.5212,30
454,2.2,0.0,31
454,1.75,0.0,32
454,2.8,0.851233,33
454,2.45,2.59219,34
454,0.65,0.0,35
454,2.0,1.34435,36
88,2.0,1.96015,0
88,1.3,2.03051,1
88,3.75,2.05396,2
88,0.25,0.49757,3
88,8.55,7.38836,4
88,1.45,0.783848,5
88,1.1,0.664126,6
88,1.2,0.937757,7
88,5.9,4.49593,8
88,3.15,4.70903,9
88,2.65,3.72986,10
88,1.7,2.44726,11
88,5.2,7.10049,12
88,1.6,1.65443,13
88,2.45,3.4806,14
88,2.05,1.10152,15
88,1.0,0.909723,16
88,0.65,0.976574,17
88,4.45,2.50827,18
88,1.9,1.53351,19
88,4.45,3.06607,20
88,4.05,3.18792,21
88,6.75,3.37318,22
88,0.9,0.882594,23
88,1.65,0.0,24
88,1.35,2.32109,25
88,4.6,6.05171,26
88,0.8,1.35046,27
88,4.85,5.66847,28
88,0.25,0.0,29
88,3.1,3.84415,30
88,0.85,0.0,31
88,1.5,0.0,32
88,0.25,0.639927,33
88,2.95,3.44949,34
88,0.6,0.0,35
88,1.25,1.32997,36
286,5.25,2.43029,0
286,1.45,1.60784,1
286,3.75,2.20875,2
286,0.4,0.0545484,3
286,11.3,5.61302,4
286,2.5,1.30737,5
286,2.55,0.422566,6
286,5.0,1.77402,7
286,6.3,3.60996,8
286,5.35,3.3851,9
286,3.35,2.35446,10
286,4.4,2.02841,11
286,8.85,5.10135,12
286,3.35,1.68458,13
286,5.65,3.16802,14
286,3.65,2.73481,15
286,4.95,2.22656,16
286,1.0,0.942192,17
286,4.35,3.2477,18
286,2.15,1.45671,19
286,5.75,2.68157,20
286,8.7,4.03349,21
286,9.1,2.43654,22
286,2.05,1.12393,23
286,1.95,0.0,24
286,3.3,2.18579,25
286,6.0,3.12715,26
286,2.0,0.916528,27
286,7.85,3.8947,28
286,1.4,0.0,29
286,5.6,3.36765,30
286,4.85,0.0,31
286,2.25,0.0,32
286,0.25,0.784422,33
286,3.75,2.39682,34
286,1.0,0.0,35
286,2.3,1.27224,36
280,3.05,1.50106,0
280,0.35,0.659436,1
280,1.55,1.8684,2
280,0.15,0.147022,3
280,5.2,3.62587,4
280,0.3,0.778545,5
280,0.5,0.653995,6
280,0.5,0.766665,7
280,6.6,4.34656,8
280,2.3,2.80347,9
280,1.85,2.5264,10
280,1.05,1.62585,11
280,4.65,3.21961,12
280,0.95,1.52405,13
280,0.7,1.66449,14
280,0.7,1.02514,15
280,1.6,1.35074,16
280,0.15,0.0,17
280,2.1,2.44107,18
280,1.2,1.54633,19
280,2.65,1.77955,20
280,1.45,2.10793,21
280,1.85,3.90731,22
280,0.4,0.538545,23
280,2.35,0.0,24
280,1.1,1.49448,25
280,3.95,4.6088,26
280,0.7,0.730947,27
280,4.8,3.61122,28
280,0.75,0.0,29
280,1.1,1.77136,30
280,1.2,0.0,31
280,0.8,0.0,32
280,0.45,0.0873963,33
280,2.25,2.59354,34
280,0.55,0.0,35
280,1.15,0.966522,36
621,3.6,0.808623,0
621,4.6,2.53691,1
621,2.6,1.64344,2
621,0.6,0.269445,3
621,10.3,8.83014,4
621,2.15,1.06693,5
621,1.05,0.422681,6
621,2.05,0.546599,7
621,6.45,3.57615,8
621,8.95,4.42905,9
621,4.1,3.01068,10
621,5.15,2.04229,11
621,7.55,3.95391,12
621,3.1,1.22735,13
621,5.9,3.55445,14
621,1.85,0.890537,15
621,1.65,0.521436,16
621,3.25,1.40908,17
621,4.1,2.07313,18
621,2.7,1.50433,19
621,6.25,4.47006,20
621,7.6,4.05966,21
621,5.65,1.92009,22
621,1.3,0.511727,23
621,2.6,0.0,24
621,4.15,2.23908,25
621,8.1,4.55154,26
621,3.05,1.19293,27
621,6.15,2.94669,28
621,1.4,0.0,29
621,6.4,3.83453,30
621,1.7,0.0,31
621,2.55,0.0,32
621,1.55,1.08168,33
621,4.2,2.5745,34
621,1.95,0.0,35
621,2.6,1.13083,36
595,4.15,3.11189,0
595,1.9,1.85974,1
595,2.35,1.78615,2
595,0.45,0.226716,3
595,8.75,8.55208,4
595,1.15,1.04717,5
595,0.8,0.828149,6
595,0.45,0.884607,7
595,7.8,5.98079,8
595,4.3,3.9473,9
595,4.5,3.57662,10
595,3.3,2.59296,11
595,5.0,3.97689,12
595,5.15,4.1132,13
595,4.75,4.0038,14
595,1.35,1.13811,15
595,1.95,2.33155,16
595,0.9,0.839509,17
595,2.8,2.27192,18
595,2.25,1.92618,19
595,4.1,4.50699,20
595,5.9,4.2905,21
595,7.0,4.90265,22
595,0.3,0.565254,23
595,3.55,0.0,24
595,2.3,1.99378,25
595,7.55,6.13323,26
595,2.4,1.46261,27
595,5.2,4.20136,28
595,2.6,0.0,29
595,5.1,5.15406,30
595,2.1,0.0,31
595,1.35,0.0,32
595,0.8,0.77842,33
595,4.8,3.85626,34
595,1.1,0.0,35
595,1.55,1.40009,36
500,4.35,3.39785,0
500,2.5,2.17272,1
500,3.75,3.38321,2
500,0.5,0.28881,3
500,8.65,7.61909,4
500,1.85,1.72149,5
500,1.6,1.13251,6
500,1.65,2.42317,7
500,6.85,5.55933,8
500,5.15,4.77203,9
500,4.95,3.24888,10
500,4.25,2.87295,11
500,5.95,5.9074,12
500,3.1,3.31036,13
500,4.95,3.83742,14
500,2.95,3.01169,15
500,3.5,3.28698,16
500,1.55,0.858358,17
500,5.5,5.59715,18
500,2.75,2.22051,19
500,4.8,3.8502,20
500,7.3,5.59865,21
500,6.4,4.22202,22
500,1.8,1.46053,23
500,2.2,0.0,24
500,3.25,2.51898,25
500,6.25,5.341,26
500,3.2,1.92275,27
500,5.1,5.36662,28
500,1.25,0.0,29
500,5.4,4.13629,30
500,4.2,0.0,31
500,2.5,0.0,32
500,0.65,0.669217,33
500,4.6,3.27354,34
500,1.6,0.0,35
500,2.2,1.69207,36
647,1.85,1.65342,0
647,0.3,0.153325,1
647,1.55,1.33899,2
647,0.45,0.305461,3
647,5.45,5.66445,4
647,0.65,0.932889,5
647,0.65,0.52329,6
647,0.85,0.732461,7
647,3.15,3.11078,8
647,1.5,1.82737,9
647,1.8,2.27884,10
647,1.75,1.86292,11
647,3.9,1.99785,12
647,0.5,0.979495,13
647,1.85,1.88147,14
647,3.15,3.75925,15
647,2.2,1.82471,16
647,0.1,0.0,17
647,2.7,1.54313,18
647,1.75,1.33689,19
647,2.5,3.11286,20
647,2.05,2.97213,21
647,2.65,2.22966,22
647,0.85,0.389863,23
647,0.7,0.0,24
647,0.7,1.02478,25
647,2.0,3.40245,26
647,1.1,0.940223,27
647,2.15,1.94854,28
647,0.15,0.0,29
647,1.0,1.79944,30
647,2.45,0.0,31
647,1.7,0.0,32
647,1.1,0.880109,33
647,2.05,2.21263,34
647,0.75,0.0,35
647,2.1,1.64903,36
182,1.05,1.33658,0
182,0.5,1.3694,1
182,1.1,1.89501,2
182,0.2,0.243957,3
182,5.85,5.4847,4
182,0.55,0.994649,5
182,0.65,0.469991,6
182,0.1,0.913679,7
182,4.6,4.11718,8
182,2.75,2.95564,9
182,2.7,2.52285,10
182,1.35,1.48685,11
182,3.65,4.44574,12
182,1.05,1.71959,13
182,2.55,2.68516,14
182,0.4,1.06276,15
182,0.4,1.00543,16
182,0.1,0.496171,17
182,1.9,2.53063,18
182,2.15,1.44962,19
182,2.05,2.93431,20
182,2.4,3.72579,21
182,3.6,3.17493,22
182,0.1,0.621127,23
182,1.9,0.0,24
182,1.3,1.52781,25
182,4.4,3.76042,26
182,0.9,0.982479,27
182,3.25,4.26347,28
182,0.1,0.0,29
182,1.7,2.75794,30
182,0.7,0.0,31
182,1.1,0.0,32
182,0.45,0.379694,33
182,2.65,2.34644,34
182,0.55,0.0,35
182,1.05,1.09255,36
146,2.4,2.11125,0
146,1.7,1.74513,1
146,5.35,2.76394,2
146,0.45,0.14663,3
146,10.2,4.99212,4
146,0.75,0.979482,5
146,0.6,0.564872,6
146,0.9,1.82812,7
146,4.25,3.31103,8
146,4.1,3.76155,9
146,5.2,2.48875,10
146,1.7,2.4366,11
146,6.1,5.83236,12
146,1.7,1.20647,13
146,3.05,2.48109,14
146,1.05,1.48099,15
146,1.55,1.69124,16
146,0.65,0.702255,17
146,8.05,3.41175,18
146,2.05,1.49397,19
146,5.45,2.30914,20
146,3.7,3.52155,21
146,2.95,3.2642,22
146,0.65,1.21798,23
146,1.3,0.0,24
146,1.55,2.17046,25
146,5.9,3.44409,26
146,0.85,1.08628,27
146,6.35,3.49283,28
146,0.7,0.0,29
146,2.9,2.78569,30
146,2.0,0.0,31
146,1.2,0.0,32
146,0.35,0.622292,33
146,5.0,2.42878,34
146,0.2,0.0,35
146,1.6,1.11913,36
302,4.45,3.84759,0
302,1.6,1.92099,1
302,3.7,3.0487,2
302,0.6,0.487335,3
302,7.75,9.9913,4
302,2.8,2.91288,5
302,0.75,1.57231,6
302,3.45,3.5327,7
302,7.2,7.04979,8
302,4.7,3.93221,9
302,3.95,3.20722,10
